Restaurant ID,Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country Name,url,featured_image,share_url
6317637,Le Petit Souffle,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines,https://www.zomato.com/manila/le-petit-souffle-poblacion-makati-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/7/6317637/e906d115281b8aaaa2c0137de5ccb0da_featured_v2.jpg,
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City",121.014101,14.553708,Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Phillipines,https://www.zomato.com/manila/izakaya-kikufuji-legaspi-village-makati-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/7/6304287/e71f2be4a757f8ca4ede1405d795b97d_featured_v2.jpg,
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines,https://www.zomato.com/manila/heat-edsa-shangri-la-ortigas-mandaluyong-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/2/6300002/68c0b36a1dd0271ab785dca7660346ab_featured_v2.jpg,
6318506,Ooma,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Phillipines,https://www.zomato.com/manila/ooma-ortigas-mandaluyong-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/6/6318506/45871229d7896abe84e0d16930b2e4c3_featured_v2.jpg,
6314302,Sambo Kojin,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Phillipines,https://www.zomato.com/manila/sambo-kojin-ortigas-mandaluyong-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/1/6306921/13d20d1870630b3eb4f5483d1c027974_featured_v2.jpg,
18189371,Din Tai Fung,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,Phillipines,https://www.zomato.com/manila/din-tai-fung-ortigas-mandaluyong-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/1/18189371/7e5d51166e977feb64129d219dbc960a_featured_v2.jpg,
6300781,Buffet 101,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,14.53133333,"Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520,Phillipines,https://www.zomato.com/manila/buffet-101-mall-of-asia-complex-pasay-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/1/6300781/392c7b96d799642aba00f8144c18cd81_featured_v2.jpg,
6301290,Vikings,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines,https://www.zomato.com/manila/vikings-mall-of-asia-complex-pasay-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/0/6301290/14c7c9f9328d3cc8fc1e32c3d1af86ca_featured_v2.jpg,
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City",120.98009,14.55299,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines,https://www.zomato.com/manila/spiral-sofitel-philippine-plaza-manila-ccp-complex-pasay-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/0/6300010/f77d4848586777e7e57b82f2d3ec4e7e_featured_v2.jpg,http://www.zoma.to/r/6300010
6314987,Locavore,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,121.056532,14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Phillipines,https://www.zomato.com/manila/locavore-kapitolyo-pasig-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/7/6314987/9bbe447bf90d04eef41cc8a809b69b85_featured_v2.jpg,
6309903,Silantro Fil-Mex,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Phillipines,https://www.zomato.com/manila/silantro-fil-mex-kapitolyo-pasig-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/3/6309903/4dfb2b3597e79ea6dfcc24f012e992dd_featured_v2.jpg,
6309455,Mad Mark's Creamery & Good Eats,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,121.06082,14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines,https://www.zomato.com/manila/mad-marks-creamery-good-eats-kapitolyo-pasig-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/5/6309455/3344019767b6643a72305a8c6fce0343_featured_v2.jpg,
6318433,Silantro Fil-Mex,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City",121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Phillipines,https://www.zomato.com/manila/silantro-fil-mex-diliman-quezon-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/3/6318433/f92f9d25e66c61d0920d7762067cd8f8_featured_v2.jpg,
6310470,Guevarra's,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,121.0335917,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,Phillipines,https://www.zomato.com/manila/guevarras-addition-hills-san-juan-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/0/6310470/a07c5be7e53fa2174bdddae64d8dbe0a_featured_v2.jpg,
6314605,Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,Phillipines,https://www.zomato.com/manila/sodam-korean-restaurant-little-baguio-san-juan-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/5/6314605/475f4b0cbea1da010dee004914256276_featured_v2.jpg,http://www.zoma.to/r/6314605
18185059,Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,Phillipines,https://www.zomato.com/laguna/cafe-arabelle-don-jose-santa-rosa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/9/18185059/aa5a0eb2c551f258cb138e1c95edef98_featured_v2.jpg,
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72,Phillipines,https://www.zomato.com/laguna/nonnas-pasta-pizzeria-don-jose-santa-rosa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/2/18182702/6805059fd27be81be71fcc294b21ceaa_featured_v2.jpg,
6318213,Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,Phillipines,https://www.zomato.com/manila/balay-dako-tagaytay-city-tagaytay-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/3/6318213/825146c52b82868815340ac62f7c8d19_featured_v2.jpg,
18255654,Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City",121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,Phillipines,https://www.zomato.com/manila/hobing-korean-dessert-cafe-bonifacio-global-city-taguig-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/pictures/chains/4/18255654/709d75429312295939d58ff76684591a_featured_v2.jpg,
